customer_id,name,age,gender,phone_number,city,building_name,address_landmark,loyalty_tier,loyalty_points,device_preference,total_spend,items_purchased,average_rating,days_since_last_purchase,satisfaction,purchase_history
101,Neha Mehta,29,Female,9000000000,Ghaziabad,,,Silver,1211,mobile,12080.08,2,4.6,25,Satisfied,"[{'order_id': 'ORD000549', 'sku': 'SKU000011', 'qty': 2, 'amount': 3232.48, 'date': '2025-12-05', 'rating': 3.8}, {'order_id': 'ORD000549', 'sku': 'SKU000007', 'qty': 3, 'amount': 8847.599999999999, 'date': '2025-12-05', 'rating': 4.4}]"
102,Arjun Singh,30,Male,9000000001,Pune,,,Bronze,665,mobile,31433.04,7,4.1,18,Neutral,"[{'order_id': 'ORD000289', 'sku': 'SKU000867', 'qty': 3, 'amount': 3120.0, 'date': '2025-12-01', 'rating': 4.9}, {'order_id': 'ORD000289', 'sku': 'SKU000359', 'qty': 3, 'amount': 6840.0, 'date': '2025-12-01', 'rating': 4.4}, {'order_id': 'ORD000289', 'sku': 'SKU000103', 'qty': 3, 'amount': 11244.24, 'date': '2025-12-01', 'rating': 4.3}, {'order_id': 'ORD000596', 'sku': 'SKU000009', 'qty': 2, 'amount': 5108.8, 'date': '2025-12-05', 'rating': 3.4}, {'order_id': 'ORD000596', 'sku': 'SKU000894', 'qty': 1, 'amount': 820.0, 'date': '2025-12-05', 'rating': 3.4}, {'order_id': 'ORD000596', 'sku': 'SKU000687', 'qty': 2, 'amount': 3020.0, 'date': '2025-12-05', 'rating': 4.1}, {'order_id': 'ORD000596', 'sku': 'SKU000714', 'qty': 1, 'amount': 1280.0, 'date': '2025-12-05', 'rating': 3.1}]"
103,Kavya Reddy,43,Female,9000000002,Lucknow,,,Bronze,107,mobile,34274.87,9,3.4,42,Unsatisfied,"[{'order_id': 'ORD000407', 'sku': 'SKU000489', 'qty': 2, 'amount': 1860.0, 'date': '2025-11-06', 'rating': 3.5}, {'order_id': 'ORD000707', 'sku': 'SKU000502', 'qty': 3, 'amount': 3510.0, 'date': '2025-11-07', 'rating': 3.9}, {'order_id': 'ORD000707', 'sku': 'SKU000151', 'qty': 1, 'amount': 2448.57, 'date': '2025-11-07', 'rating': 4.7}, {'order_id': 'ORD000707', 'sku': 'SKU000662', 'qty': 3, 'amount': 4530.0, 'date': '2025-11-07', 'rating': 3.8}, {'order_id': 'ORD000707', 'sku': 'SKU000147', 'qty': 2, 'amount': 8778.1, 'date': '2025-11-07', 'rating': 4.5}, {'order_id': 'ORD000719', 'sku': 'SKU000018', 'qty': 3, 'amount': 8056.68, 'date': '2025-11-23', 'rating': 4.1}, {'order_id': 'ORD000719', 'sku': 'SKU000564', 'qty': 1, 'amount': 850.0, 'date': '2025-11-23', 'rating': 3.4}, {'order_id': 'ORD000730', 'sku': 'SKU000840', 'qty': 2, 'amount': 2500.0, 'date': '2025-11-14', 'rating': 3.3}, {'order_id': 'ORD000730', 'sku': 'SKU000150', 'qty': 2, 'amount': 1741.52, 'date': '2025-11-14', 'rating': 3.0}]"
104,Krishna Patel,30,Male,9000000003,Pune,,,Silver,2617,mobile,73747.67,19,4.7,12,Satisfied,"[{'order_id': 'ORD000040', 'sku': 'SKU000444', 'qty': 1, 'amount': 2120.0, 'date': '2025-11-09', 'rating': 3.0}, {'order_id': 'ORD000040', 'sku': 'SKU000893', 'qty': 2, 'amount': 2380.0, 'date': '2025-11-09', 'rating': 4.2}, {'order_id': 'ORD000040', 'sku': 'SKU000558', 'qty': 3, 'amount': 6990.0, 'date': '2025-11-09', 'rating': 4.0}, {'order_id': 'ORD000140', 'sku': 'SKU000362', 'qty': 1, 'amount': 1410.0, 'date': '2025-11-29', 'rating': 4.2}, {'order_id': 'ORD000140', 'sku': 'SKU000140', 'qty': 2, 'amount': 9872.36, 'date': '2025-11-29', 'rating': 4.1}, {'order_id': 'ORD000352', 'sku': 'SKU000215', 'qty': 1, 'amount': 1844.15, 'date': '2025-11-30', 'rating': 4.6}, {'order_id': 'ORD000352', 'sku': 'SKU000767', 'qty': 1, 'amount': 1280.0, 'date': '2025-11-30', 'rating': 3.2}, {'order_id': 'ORD000352', 'sku': 'SKU000271', 'qty': 2, 'amount': 1038.1, 'date': '2025-11-30', 'rating': 3.8}, {'order_id': 'ORD000352', 'sku': 'SKU000420', 'qty': 1, 'amount': 1760.0, 'date': '2025-11-30', 'rating': 3.2}, {'order_id': 'ORD000461', 'sku': 'SKU000474', 'qty': 1, 'amount': 1310.0, 'date': '2025-11-11', 'rating': 3.6}, {'order_id': 'ORD000461', 'sku': 'SKU000526', 'qty': 3, 'amount': 2340.0, 'date': '2025-11-11', 'rating': 4.7}, {'order_id': 'ORD000461', 'sku': 'SKU000854', 'qty': 2, 'amount': 2800.0, 'date': '2025-11-11', 'rating': 3.0}, {'order_id': 'ORD000461', 'sku': 'SKU000165', 'qty': 3, 'amount': 14400.96, 'date': '2025-11-11', 'rating': 4.8}, {'order_id': 'ORD000512', 'sku': 'SKU000612', 'qty': 1, 'amount': 1880.0, 'date': '2025-12-02', 'rating': 3.6}, {'order_id': 'ORD000512', 'sku': 'SKU000866', 'qty': 3, 'amount': 5370.0, 'date': '2025-12-02', 'rating': 3.5}, {'order_id': 'ORD000512', 'sku': 'SKU000150', 'qty': 3, 'amount': 2612.2799999999997, 'date': '2025-12-02', 'rating': 3.0}, {'order_id': 'ORD000751', 'sku': 'SKU000030', 'qty': 3, 'amount': 12586.02, 'date': '2025-11-24', 'rating': 3.3}, {'order_id': 'ORD000751', 'sku': 'SKU000120', 'qty': 1, 'amount': 823.8, 'date': '2025-11-24', 'rating': 3.0}, {'order_id': 'ORD000751', 'sku': 'SKU000489', 'qty': 1, 'amount': 930.0, 'date': '2025-11-24', 'rating': 3.5}]"
105,Rohit Mehta,27,Male,9000000004,Lucknow,,,Bronze,703,mobile,26244.36,5,4.0,55,Unsatisfied,"[{'order_id': 'ORD000125', 'sku': 'SKU000085', 'qty': 2, 'amount': 1798.06, 'date': '2025-11-16', 'rating': 3.7}, {'order_id': 'ORD000125', 'sku': 'SKU000194', 'qty': 2, 'amount': 6859.08, 'date': '2025-11-16', 'rating': 3.2}, {'order_id': 'ORD000125', 'sku': 'SKU000238', 'qty': 3, 'amount': 12396.150000000001, 'date': '2025-11-16', 'rating': 4.2}, {'order_id': 'ORD000465', 'sku': 'SKU000017', 'qty': 1, 'amount': 971.07, 'date': '2025-11-26', 'rating': 4.6}, {'order_id': 'ORD000865', 'sku': 'SKU000556', 'qty': 2, 'amount': 4220.0, 'date': '2025-11-19', 'rating': 3.1}]"
106,Neha Khan,37,Female,9000000005,Varanasi,,,Bronze,169,mobile,440.8,8,3.1,22,Neutral,"[{'order_id': 'ORD463703', 'sku': 'SKU-1070', 'qty': 1, 'amount': 220.4, 'date': '2025-11-18', 'rating': 2.6}, {'order_id': 'ORD398174', 'sku': 'SKU-1025', 'qty': 1, 'amount': 220.4, 'date': '2025-03-03', 'rating': 2.8}]"
107,Tanya Verma,31,Female,9000000006,Gwalior,,,Silver,2098,mobile,36726.46,8,4.5,28,Satisfied,"[{'order_id': 'ORD000527', 'sku': 'SKU000685', 'qty': 3, 'amount': 4920.0, 'date': '2025-11-24', 'rating': 4.6}, {'order_id': 'ORD000527', 'sku': 'SKU000612', 'qty': 1, 'amount': 1880.0, 'date': '2025-11-24', 'rating': 3.6}, {'order_id': 'ORD000527', 'sku': 'SKU000791', 'qty': 3, 'amount': 4680.0, 'date': '2025-11-24', 'rating': 3.5}, {'order_id': 'ORD000527', 'sku': 'SKU000104', 'qty': 2, 'amount': 7656.74, 'date': '2025-11-24', 'rating': 3.1}, {'order_id': 'ORD000664', 'sku': 'SKU000583', 'qty': 3, 'amount': 8250.0, 'date': '2025-11-07', 'rating': 3.6}, {'order_id': 'ORD000664', 'sku': 'SKU000826', 'qty': 2, 'amount': 3160.0, 'date': '2025-11-07', 'rating': 3.9}, {'order_id': 'ORD000664', 'sku': 'SKU000012', 'qty': 2, 'amount': 3934.16, 'date': '2025-11-07', 'rating': 3.0}, {'order_id': 'ORD000664', 'sku': 'SKU000023', 'qty': 1, 'amount': 2245.56, 'date': '2025-11-07', 'rating': 4.8}]"
108,Arjun Reddy,35,Male,9000000007,Ludhiana,,,Bronze,430,mobile,16450.0,4,4.2,14,Neutral,"[{'order_id': 'ORD000264', 'sku': 'SKU000520', 'qty': 3, 'amount': 6450.0, 'date': '2025-11-19', 'rating': 4.6}, {'order_id': 'ORD000264', 'sku': 'SKU000727', 'qty': 2, 'amount': 2600.0, 'date': '2025-11-19', 'rating': 3.4}, {'order_id': 'ORD000894', 'sku': 'SKU000560', 'qty': 2, 'amount': 3140.0, 'date': '2025-11-20', 'rating': 3.8}, {'order_id': 'ORD000894', 'sku': 'SKU000400', 'qty': 2, 'amount': 4260.0, 'date': '2025-11-20', 'rating': 3.4}]"
109,Riya Desai,41,Female,9000000008,Visakhapatnam,,,Bronze,276,mobile,19164.66,7,3.6,40,Unsatisfied,"[{'order_id': 'ORD000116', 'sku': 'SKU000827', 'qty': 1, 'amount': 1050.0, 'date': '2025-11-25', 'rating': 3.0}, {'order_id': 'ORD000116', 'sku': 'SKU000700', 'qty': 1, 'amount': 1300.0, 'date': '2025-11-25', 'rating': 4.8}, {'order_id': 'ORD000116', 'sku': 'SKU000439', 'qty': 1, 'amount': 1200.0, 'date': '2025-11-25', 'rating': 4.9}, {'order_id': 'ORD000457', 'sku': 'SKU000279', 'qty': 2, 'amount': 5434.66, 'date': '2025-12-06', 'rating': 3.8}, {'order_id': 'ORD000457', 'sku': 'SKU000375', 'qty': 2, 'amount': 3620.0, 'date': '2025-12-06', 'rating': 4.3}, {'order_id': 'ORD000457', 'sku': 'SKU000791', 'qty': 3, 'amount': 4680.0, 'date': '2025-12-06', 'rating': 3.5}, {'order_id': 'ORD000457', 'sku': 'SKU000619', 'qty': 2, 'amount': 1880.0, 'date': '2025-12-06', 'rating': 4.1}]"
110,Arjun Patel,28,Male,9000000009,Vadodara,,,Silver,2621,mobile,1520.1,21,4.8,9,Satisfied,"[{'order_id': 'ORD297432', 'sku': 'SKU-1044', 'qty': 1, 'amount': 253.35, 'date': '2025-04-12', 'rating': 4.9}, {'order_id': 'ORD370326', 'sku': 'SKU-1052', 'qty': 1, 'amount': 253.35, 'date': '2025-07-09', 'rating': 4.2}, {'order_id': 'ORD115398', 'sku': 'SKU-1047', 'qty': 1, 'amount': 253.35, 'date': '2025-03-18', 'rating': 4.5}, {'order_id': 'ORD564418', 'sku': 'SKU-1035', 'qty': 1, 'amount': 253.35, 'date': '2025-05-01', 'rating': 4.0}, {'order_id': 'ORD692812', 'sku': 'SKU-1081', 'qty': 1, 'amount': 253.35, 'date': '2025-09-21', 'rating': 4.8}, {'order_id': 'ORD846066', 'sku': 'SKU-1051', 'qty': 1, 'amount': 253.35, 'date': '2025-08-01', 'rating': 4.7}]"
